frame,status,confidence,x,y,width,height
train_001.jpg,DIRECT,0.8178,44,88,1849,963
train_002.jpg,DIRECT,0.9665,44,88,1849,972
train_003.jpg,TRACKED-HOLD (1),0.0,44,88,1849,972
train_004.jpg,TRACKED-HOLD (2),0.0,44,88,1849,972
train_005.jpg,DIRECT,0.9574,44,89,1849,962
train_006.jpg,DIRECT,0.9566,44,89,1849,972
train_007.jpg,DIRECT,0.955,44,89,1849,971
train_008.jpg,DIRECT,0.9542,44,89,1849,971
train_009.jpg,DIRECT,0.957,44,89,1849,972
train_010.jpg,DIRECT,0.9572,44,87,1849,974
train_011.jpg,DIRECT,0.9554,44,89,1849,971
train_012.jpg,DIRECT,0.9573,44,89,1849,962
train_013.jpg,TRACKED-HOLD (1),0.0,44,89,1849,962
train_014.jpg,DIRECT,0.7668,0,0,1881,1080
train_015.jpg,DIRECT,0.9435,44,88,1853,973
train_016.jpg,DIRECT,0.995,80,88,1814,963
train_017.jpg,DIRECT,0.9647,44,88,1858,973
train_018.jpg,DIRECT,0.9796,44,88,1853,974
train_019.jpg,DIRECT,0.9723,44,87,1852,974
train_020.jpg,TRACKED-HOLD (1),0.0,44,87,1852,974
train_021.jpg,TRACKED-HOLD (2),0.0,44,87,1852,974
train_022.jpg,LOST,0.0,,,,
train_023.jpg,DIRECT,0.7883,0,0,1815,1080
train_024.jpg,DIRECT,0.9414,44,89,1849,962
train_025.jpg,DIRECT,0.9687,44,86,1849,965
train_026.jpg,TRACKED-HOLD (1),0.0,44,86,1849,965
train_027.jpg,TRACKED-HOLD (2),0.0,44,86,1849,965
train_028.jpg,DIRECT,0.9608,44,87,1849,973
train_029.jpg,DIRECT,0.9588,44,89,1849,971
