frame,player_1,player_1_confidence,player_2,player_2_confidence,player_3,player_3_confidence,player_4,player_4_confidence
train_001.jpg,20,0.9222,39,0.5758,48,0.9925,54,1.0
train_002.jpg,20,0.9714,39,0.5607,48,0.999,54,1.0
train_003.jpg,,0.0,,0.0,,0.0,,0.0
train_004.jpg,,0.0,,0.0,,0.0,,0.0
train_005.jpg,20,0.9863,39,0.5688,48,0.9979,54,1.0
train_006.jpg,20,0.9922,39,0.4385,48,0.9996,54,1.0
train_007.jpg,20,0.9941,39,0.4444,48,0.9999,54,1.0
train_008.jpg,20,0.9524,39,0.8936,48,0.9989,54,1.0
train_009.jpg,20,0.9416,39,0.6436,48,0.9985,54,1.0
train_010.jpg,20,0.9863,39,0.5282,48,0.9989,54,1.0
train_011.jpg,20,0.9808,39,0.9294,48,0.9975,54,0.9999
train_012.jpg,20,0.9742,39,0.5404,48,0.999,54,1.0
train_013.jpg,,0.0,,0.0,,0.0,,0.0
train_014.jpg,,0.0,,0.0,,0.0,,0.0
train_015.jpg,70,0.7534,3,0.6943,43,0.6995,64,0.304
train_016.jpg,70,0.8054,3,0.7377,43,0.6474,54,0.5191
train_017.jpg,70,0.803,3,0.7873,43,0.7114,54,0.3482
train_018.jpg,70,0.316,3,0.8304,43,0.7526,54,0.4881
train_019.jpg,70,0.7284,3,0.8535,43,0.3369,54,0.3745
train_020.jpg,,0.0,,0.0,,0.0,,0.0
train_021.jpg,,0.0,,0.0,,0.0,,0.0
train_022.jpg,,0.0,,0.0,,0.0,,0.0
train_023.jpg,,0.0,,0.0,,0.0,,0.0
train_024.jpg,70,0.777,3,0.7774,43,0.4784,54,0.5046
train_025.jpg,70,0.6214,3,0.7277,43,0.565,54,0.6444
train_026.jpg,,0.0,,0.0,,0.0,,0.0
train_027.jpg,,0.0,,0.0,,0.0,,0.0
train_028.jpg,70,0.842,3,0.8052,43,0.8074,54,0.6776
train_029.jpg,70,0.7479,3,0.8205,43,0.6221,54,0.6231
