frame,player_1,player_2,player_3,player_4
train_001.jpg,20,34,43,54
train_002.jpg,20,34,43,54
train_003.jpg,20,31,43,54
train_004.jpg,20,31,43,54
train_005.jpg,20,31,43,54
train_006.jpg,20,31,43,54
train_007.jpg,20,31,43,54
train_008.jpg,20,31,43,54
train_009.jpg,20,31,43,54
train_010.jpg,20,31,43,54
train_011.jpg,20,31,43,54
train_012.jpg,20,31,43,54
train_013.jpg,20,34,43,54
train_014.jpg,20,34,43,54
train_015.jpg,20,34,43,54
train_016.jpg,20,34,43,54
train_017.jpg,20,34,48,54
train_018.jpg,20,34,48,54
train_019.jpg,20,34,48,54
train_020.jpg,20,34,48,54
train_021.jpg,20,34,48,54
train_022.jpg,20,34,48,54
train_023.jpg,20,34,48,54
train_024.jpg,20,34,48,54
train_025.jpg,20,34,48,54
train_026.jpg,20,34,48,54
train_027.jpg,20,34,48,54
train_028.jpg,20,34,48,54
train_029.jpg,20,34,48,54
