frame,status,confidence,x,y,width,height
train_001.jpg,DIRECT,0.7211,44,88,1849,963
train_002.jpg,DIRECT,0.7192,44,88,1849,972
train_003.jpg,TRACKED-HOLD (1),0.0,44,88,1849,972
train_004.jpg,TRACKED-HOLD (2),0.0,44,88,1849,972
train_005.jpg,DIRECT,0.712,44,89,1849,962
train_006.jpg,DIRECT,0.709,44,89,1849,972
train_007.jpg,DIRECT,0.7062,44,89,1849,971
train_008.jpg,DIRECT,0.7053,44,89,1849,971
train_009.jpg,DIRECT,0.708,44,89,1849,972
train_010.jpg,DIRECT,0.7107,44,87,1849,964
train_011.jpg,DIRECT,0.707,44,89,1849,971
train_012.jpg,DIRECT,0.7117,44,89,1849,962
train_013.jpg,TRACKED-HOLD (1),0.0,44,89,1849,962
train_014.jpg,TRACKED-HOLD (2),0.4688,44,89,1849,962
train_015.jpg,DIRECT,0.713,44,88,1853,973
train_016.jpg,DIRECT,0.7681,80,88,1814,963
train_017.jpg,DIRECT,0.7194,44,88,1858,973
train_018.jpg,DIRECT,0.7304,44,88,1853,974
train_019.jpg,DIRECT,0.7235,44,87,1852,974
train_020.jpg,TRACKED-HOLD (1),0.0,44,87,1852,974
train_021.jpg,TRACKED-HOLD (2),0.0,44,87,1852,974
train_022.jpg,LOST,0.0,,,,
train_023.jpg,LOST,0.5039,,,,
train_024.jpg,DIRECT,0.7188,44,89,1849,962
train_025.jpg,DIRECT,0.7229,44,86,1849,965
train_026.jpg,TRACKED-HOLD (1),0.0,44,86,1849,965
train_027.jpg,TRACKED-HOLD (2),0.0,44,86,1849,965
train_028.jpg,DIRECT,0.714,44,87,1849,973
train_029.jpg,DIRECT,0.7102,44,89,1849,971
